station,start_min,end_min,duration_min,cause,start_timestamp,end_timestamp
S1_CNC_Machining,88497.31619441275,88556.47523443853,59.711897331047126,tool_breakage,2024-03-02 16:57:23,2024-03-02 17:56:51
S1_CNC_Machining,11685.031147344633,11697.30293568119,12.13808398811479,coolant_system,2024-01-09 08:45:18,2024-01-09 08:57:01
S2_Welding,5533.675331626184,5550.92478754459,17.501587893250317,power_supply_fault,2024-01-05 02:13:33,2024-01-05 02:30:41
S5_Packaging,103120.83333489539,103133.85878877153,12.724625728523542,label_printer_fault,2024-03-12 20:40:47,2024-03-12 20:53:47
S2_Welding,66038.89217583173,66088.08560396565,48.9541790001845,power_supply_fault,2024-02-16 02:38:46,2024-02-16 03:27:57
S2_Welding,69660.14179919852,69703.22521667642,42.93355970738684,electrode_wear,2024-02-18 15:00:05,2024-02-18 15:42:48
S1_CNC_Machining,,29977.42233197619,75.45349991799232,tool_breakage,2024-01-22 00:22:09,2024-01-22 01:37:21
S5_Packaging,44938.633271243176,44957.30677912213,18.613801605893187,conveyor_jam,2024-02-01 10:58:23,2024-02-01 11:17:23
S2_Welding,116296.86475717908,116324.79411948878,27.70323075120961,power_supply_fault,2024-03-22 00:16:45,2024-03-22 00:44:45
S5_Packaging,13934.021792461515,13941.95130528624,8.778501439663318,label_printer_fault,2024-01-10 22:13:34,2024-01-10 22:22:21
S1_CNC_Machining,90933.23691853396,90969.75973664025,35.72844707873547,coolant_system,2024-03-04 09:33:25,2024-03-04 10:09:23
S1_CNC_Machining,92801.67469431309,92856.9735218007,55.06734232080995,coolant_system,2024-03-05 16:41:47,2024-03-05 17:37:07
S2_Welding,121.69645420687361,129.8309249898101,8.24411159147197,power_supply_fault,2024-01-01 08:01:34,2024-01-01 08:09:25
S2_Welding,93037.26406821869,93085.85241967364,48.80558558534766,electrode_wear,2024-03-05 20:37:12,2024-03-05 21:25:34
S4_Inspection,18401.87352840264,18429.08613019053,28.06572623378426,software_crash,2024-01-14 00:41:46,2024-01-14 01:09:31
S1_CNC_Machining,71354.89492250171,71391.98714134868,36.80159591687702,spindle_failure,2024-02-19 19:15:08,2024-02-19 19:52:25
S5_Packaging,59514.59789644425,59535.05157914928,19.768773081968337,seal_bar_failure,2024-02-11 13:54:19,2024-02-11 14:14:33
S1_CNC_Machining,73986.51561364523,73990.79999794824,5.326732258719958,coolant_system,2024-02-21 15:06:15,2024-02-21 15:11:15
S1_CNC_Machining,127284.9682500939,127325.99450213906,40.39392725167009,tool_breakage,2024-03-29 15:25:01,2024-03-29 16:05:42
S2_Welding,43366.8521790527,43400.15956330313,33.54811133955271,power_supply_fault,2024-01-31 08:46:51,2024-01-31 09:20:10
S2_Welding,15053.199519048632,15091.633487906725,38.333954499127415,power_supply_fault,2024-01-11 16:53:22,2024-01-11 17:31:18
S4_Inspection,35367.59059473553,35372.8032461305,5.035186027340505,camera_failure,2024-01-25 19:27:37,2024-01-25 19:32:37
S5_Packaging,66195.11192491863,66220.4928271404,26.152472225976748,seal_bar_failure,2024-02-16 05:14:42,2024-02-16 05:40:48
S1_CNC_Machining,23593.91130747696,23649.091401377726,55.08500510795689,coolant_system,2024-01-17 15:13:51,2024-01-17 16:08:58
S3_Assembly,21494.774088688682,21510.919386865327,16.356691706464183,sensor_misread,2024-01-16 04:14:33,2024-01-16 04:30:43
S1_CNC_Machining,30710.181851859867,30767.122272762128,56.643862556577254,spindle_failure,2024-01-22 13:50:07,2024-01-22 14:46:44
S4_Inspection,48533.57325539127,48555.03204137868,22.272643529403116,software_crash,2024-02-03 22:53:16,2024-02-03 23:15:15
S1_CNC_Machining,82746.38827106197,82800.25484418757,54.02361686313222,servo_error,2024-02-27 17:06:03,2024-02-27 18:00:22
